date,country,D,H,I,M,S
2021-07-17,Sweden,4,0,0,6,0
2021-07-17,Japan,14,0,0,110,0
2021-07-18,Afghanistan,0,0,0,40,0
2021-07-18,Sweden,4,0,0,6,0
2021-07-18,Japan,14,0,0,110,0
2021-07-19,Afghanistan,0,0,0,40,0
2021-07-19,Sweden,4,0,0,6,0
2021-07-19,Japan,14,0,0,110,0
2021-07-20,Afghanistan,0,0,0,40,0
2021-07-20,Sweden,4,0,0,6,0
2021-07-20,Japan,14,0,0,110,0
2021-07-21,Afghanistan,0,0,0,40,0
2021-07-21,Sweden,4,0,0,6,0
2021-07-21,Japan,14,0,0,110,0
2021-07-22,Afghanistan,0,0,0,40,0
2021-07-22,Sweden,4,0,0,6,0
2021-07-22,Japan,14,0,0,110,0
2021-07-23,Afghanistan,0,0,0,40,0
2021-07-23,Sweden,4,0,0,6,0
2021-07-23,Japan,14,0,0,110,0
2021-07-24,Afghanistan,0,0,0,40,0
2021-07-24,Sweden,4,0,0,6,0
2021-07-24,Japan,14,0,0,110,0
2021-07-25,Afghanistan,0,0,0,40,0
2021-07-25,Sweden,4,0,0,6,0
2021-07-25,Japan,14,0,0,110,0
2021-07-26,Afghanistan,0,0,0,40,0
2021-07-26,Sweden,4,0,0,6,0
2021-07-26,Japan,14,0,0,110,0
2021-07-27,Afghanistan,0,0,0,40,0
2021-07-27,Sweden,4,0,0,6,0
2021-07-27,Japan,14,0,0,110,0
2021-07-28,Afghanistan,0,0,0,40,0
2021-07-28,Sweden,4,0,0,6,0
2021-07-28,Japan,14,0,0,110,0
2021-07-29,Afghanistan,0,0,0,40,0
2021-07-29,Sweden,4,0,0,6,0
2021-07-29,Japan,14,0,0,110,0
2021-07-30,Afghanistan,0,0,0,40,0
2021-07-30,Sweden,4,0,0,6,0
2021-07-30,Japan,14,0,0,110,0
2021-07-31,Afghanistan,0,0,0,40,0
2021-07-31,Sweden,4,0,0,6,0
2021-07-31,Japan,14,0,0,110,0
2021-08-01,Afghanistan,0,0,0,40,0
2021-08-01,Sweden,4,0,0,6,0
2021-08-01,Japan,14,0,0,110,0
2021-08-02,Afghanistan,0,0,0,40,0
2021-08-02,Sweden,4,0,0,6,0
2021-08-02,Japan,14,0,0,110,0
